nom_canonique,est_laureat,score_avec,rang_avec,score_sans,rang_sans,statut
Eloise Klein Healy,1,11,1,8,5,stable
Charles Bukowski,0,10,2,10,1,stable
Wanda Coleman,0,10,3,10,2,stable
Laurel Ann Bogen,0,9,4,9,3,stable
Lynne Thompson,1,9,5,6,17,sort
Bill Mohr,0,8,6,8,4,stable
Michael C. Ford,0,7,7,7,6,stable
Ron Koertge,0,7,8,7,7,stable
Suzanne Lummis,0,7,9,7,8,stable
Amy Uyematsu,0,7,10,7,9,stable
Terry Wolverton,0,7,11,7,10,stable
Kim Dower,1,7,12,4,42,sort
Steven Reigns,1,7,13,4,47,sort
Luis J. Rodriguez,1,7,14,4,48,sort
Gerald Locklin,0,6,15,6,11,stable
Holly Prado,0,6,16,6,12,entre
Austin Straus,0,6,17,6,13,entre
Liz Gonzalez,0,6,18,6,14,entre
Jack Grapes,0,6,19,6,15,entre
