poete,volume,groupe
"Q. R. Hand, Jr.",0,SF Renaissance
Madeline Gleason,10,SF Renaissance
John Wieners,2,SF Renaissance
Helen Adam,0,SF Renaissance
James Merrill,75,SF Renaissance
Gary Snyder,29,SF Renaissance
Allen Ginsberg,39,SF Renaissance
David Meltzer,0,SF Renaissance
Jack Spicer,10,SF Renaissance
Kenneth Rexroth,20,SF Renaissance
Robert Duncan,36,SF Renaissance
Thom Gunn,31,SF Renaissance
Charles Bukowski,8,LA canon local (sans lauréat)
Wanda Coleman,1,LA canon local (sans lauréat)
Laurel Ann Bogen,0,LA canon local (sans lauréat)
Bill Mohr,0,LA canon local (sans lauréat)
Eloise Klein Healy,3,LA canon local (sans lauréat)
Michael C. Ford,0,LA canon local (sans lauréat)
Ron Koertge,0,LA canon local (sans lauréat)
Suzanne Lummis,0,LA canon local (sans lauréat)
Amy Uyematsu,0,LA canon local (sans lauréat)
Terry Wolverton,7,LA canon local (sans lauréat)
Gerald Locklin,1,LA canon local (sans lauréat)
Holly Prado,4,LA canon local (sans lauréat)
